1. I didn't have enough to eat.	2. I knew that there was someone to take care of me and protect me.	3. People in my family called me things like "stupid", "lazy", or "ugly".	4. My parents were too drunk or high to take care of the family.	5. There was someone in my family who helped me feel important or special.	6. I had to wear dirty clothes.	7. I felt loved.	8. I thought that my parents wished I had never been born.	9. I got hit so hard by someone in my family that I had to see a doctor or go to the hospital.	10. There was nothing I wanted to change about my family.	11. People in my family hit me so hard that it left me with bruises or marks.	12. I was punished with a belt, a board, a cord (or some other hard object).	13. People in my family looked out for each other.	14. People in my family said hurtful or insulting things to me.	15. I believe that I was physically abused.	16. I had the perfect childhood.	17. I got hit or beaten so badly that it was noticed by someone like a friend, teacher, neighbor, or doctor.	18. Someone in my family hated me.	19. People in my family felt close to each other.	20. Someone tried to touch me in a sexual way or tried to make me touch them.	21. Someone threatened to hurt me or tell lies about me unless I did something sexual with them.	22. I had the best family in the world.	23. Someone tried to make me do sexual things or watch sexual things.	24. Someone molested me (took advantage of me sexually).	25. I believe that I was emotionally abused.	26. There was someone to take me to the doctor if I needed it.	27. I believe that I was sexually abused.	28. My family was a source of strength and support.
1	5	2	1	3	1	3	3	3	3	3	2	5	5	2	4	1	4	3	2	2	3	3	2	3	5	1	5
1	5	2	1	2	1	2	1	1	3	1	1	3	2	1	4	1	5	3	1	1	5	1	1	2	3	1	5
1	5	1	1	4	1	5	1	1	5	1	1	5	1	1	1	1	1	5	1	1	5	1	1	1	5	1	5
1	5	1	1	5	1	5	1	2	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	1	5	1	5
1	5	1	1	4	1	4	1	1	4	1	2	5	1	1	5	1	1	4	1	3	4	2	1	2	5	1	5
1	5	1	1	5	1	5	1	1	4	1	1	5	1	1	5	1	2	4	1	1	3	1	1	1	5	1	4
1	5	2	1	4	1	4	1	2	3	2	1	4	3	1	4	1	1	4	1	1	4	1	1	1	5	1	5
1	5	1	1	1	1	5	1	1	2	1	1	5	1	1	4	1	1	5	1	1	5	1	1	1	5	1	5
1	3	1	1	1	1	1	1	2	1	4	2	1	3	1	3	2	1	3	1	1	3	1	1	5	4	1	5
1	5	1	1	4	1	5	1	1	1	1	1	5	2	3	5	2	1	5	3	1	5	3	1	3	5	3	5
3	5	4	1	2	1	3	1	1	1	2	2	5	3	1	1	1	3	2	1	1	4	1	1	1	3	1	5
1	5	2	1	4	1	4	1	1	3	2	2	4	3	1	4	1	1	4	1	1	4	1	1	1	5	1	5
1	5	2	1	3	1	5	1	1	3	1	1	3	2	1	5	1	1	5	1	1	5	2	1	1	5	1	5
3	5	3	1	4	1	3	2	1	1	1	2	4	2	1	5	1	2	4	1	1	4	1	1	1	5	1	5
1	4	2	1	2	2	2	1	1	1	3	2	2	2	1	3	1	3	2	1	1	3	1	1	2	5	1	5
1	4	5	1	3	1	3	1	1	1	1	2	3	3	3	2	3	2	3	1	1	5	2	1	3	5	1	3
1	5	3	2	3	1	2	3	1	1	3	3	2	4	1	2	1	2	2	1	1	1	1	1	3	4	1	3
3	3	1	5	2	2	1	2	1	2	1	1	4	3	1	3	1	2	4	1	1	4	1	1	1	5	1	5
1	5	1	1	3	1	4	1	1	3	4	1	5	1	1	5	1	1	5	1	1	3	1	1	2	3	1	4
2	4	4	1	3	2	2	4	2	1	3	3	3	5	3	2	2	2	3	1	1	1	1	1	3	5	1	2
1	5	3	1	2	1	3	1	1	4	2	2	4	3	1	4	3	3	4	1	1	3	3	1	1	5	1	4
1	5	1	1	5	1	5	1	1	1	1	1	5	1	1	5	1	1	5	1	1	5	1	1	1	5	1	5
1	5	1	1	5	1	5	1	1	2	1	1	2	1	1	5	1	3	5	2	1	5	2	1	1	5	1	5
1	4	4	1	3	2	3	3	1	1	3	3	3	5	3	2	1	2	3	1	1	2	2	1	4	5	1	3
1	5	2	1	4	2	4	1	1	2	2	1	4	2	1	3	1	1	5	2	1	3	3	1	1	5	1	5
1	5	1	1	5	1	5	1	1	2	1	1	5	1	1	4	1	1	5	1	1	5	1	1	1	5	1	3
1	5	2	1	5	1	5	1	2	1	2	1	5	3	1	5	1	2	4	1	1	5	2	1	1	5	1	5
1	4	1	1	2	1	4	3	1	4	1	2	5	3	3	2	1	2	5	1	1	4	1	1	1	5	1	5
3	3	1	1	3	2	3	1	1	5	2	2	2	5	2	5	4	3	2	1	2	3	1	1	2	3	1	3
1	5	2	1	5	1	4	1	1	5	1	1	5	1	1	5	1	1	5	1	1	1	1	1	1	5	1	5
1	5	1	1	3	1	3	1	1	1	1	1	5	3	1	5	1	3	2	1	1	5	1	1	3	5	1	3
1	5	3	1	5	1	4	1	1	2	3	1	4	3	1	5	1	1	5	1	1	4	3	1	1	5	1	3
1	5	3	1	4	1	4	1	1	3	1	1	4	3	1	5	1	1	5	1	1	4	2	1	1	5	1	4
1	5	1	1	5	1	3	1	3	1	1	1	4	3	1	5	1	5	5	1	1	1	1	1	1	5	1	3
1	5	1	1	1	1	4	1	1	2	1	2	5	1	1	5	1	2	5	1	1	5	2	2	1	5	1	5
1	3	2	3	5	1	4	1	1	1	3	2	3	5	3	2	1	4	3	1	1	1	3	1	3	4	1	1
1	5	1	1	5	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	1	5	1	5
2	3	3	2	2	2	2	3	1	4	3	3	3	5	1	3	2	4	3	1	1	3	3	1	1	5	1	2
1	5	1	1	5	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	3	1	5	1	5
1	5	1	1	3	3	3	1	1	1	1	2	5	3	1	3	1	1	4	1	1	2	1	1	1	3	1	3
1	5	3	2	4	3	1	1	1	3	1	1	4	4	1	5	1	3	3	2	2	3	3	1	2	3	1	3
1	5	1	1	5	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	1	5	1	5
2	5	4	1	3	1	3	3	2	1	3	2	3	5	3	2	1	2	3	1	1	2	1	1	4	5	1	3
1	5	5	1	4	1	5	1	1	1	1	1	5	3	1	4	1	1	5	1	1	5	3	1	3	3	1	3
1	5	3	1	4	1	5	1	2	1	1	1	3	3	1	5	1	1	5	1	1	5	3	1	3	5	1	5
1	5	3	1	3	1	5	1	1	5	3	3	5	3	3	5	1	1	5	1	1	5	3	1	3	5	1	5
1	5	1	1	5	1	5	1	1	4	1	1	5	2	1	5	1	1	5	1	1	5	1	1	1	5	1	5
1	4	1	1	4	1	5	1	1	3	1	1	4	1	1	3	1	3	3	1	1	3	1	1	3	5	1	3
1	5	1	1	5	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	3	5	3	1	1	5	1	5
1	4	5	1	3	1	3	3	2	1	3	2	3	5	2	1	2	3	3	1	1	1	2	2	5	1	1	2
1	4	5	1	3	1	3	3	2	1	2	1	3	5	2	1	3	3	3	1	1	1	2	1	5	4	1	2
1	4	1	1	3	1	3	1	1	3	2	2	5	3	1	5	1	4	5	1	1	5	1	1	1	5	1	5
1	5	1	1	5	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	1	1	1	1	5	1	5
1	3	3	1	3	1	3	2	1	2	3	1	2	4	2	3	1	2	3	1	1	3	1	1	3	5	1	3
1	5	1	1	4	1	4	1	1	4	1	1	5	1	1	5	1	1	5	1	1	5	1	1	1	4	1	5
1	3	2	1	1	1	3	2	1	2	3	1	2	5	2	5	1	4	2	1	1	4	1	1	1	3	1	5
1	5	3	1	1	1	3	4	1	5	1	1	5	4	2	4	1	1	5	1	1	5	1	1	2	4	1	5
1	5	5	1	3	1	3	3	2	1	3	2	3	5	3	1	5	3	3	1	1	1	3	3	5	4	1	2
1	4	4	1	3	1	3	3	2	1	3	2	3	5	2	2	2	2	3	1	1	2	1	1	4	4	1	3
3	4	1	4	1	3	1	4	1	4	1	2	4	4	1	3	1	4	4	1	1	4	3	1	1	4	1	4
1	3	1	3	1	1	1	4	1	5	1	1	3	2	1	3	1	3	3	1	1	3	1	1	2	4	1	4
2	3	1	1	3	1	3	1	1	5	1	2	3	3	1	4	3	1	3	2	1	5	1	2	4	5	3	5
1	4	2	1	3	1	3	2	1	3	3	2	3	2	1	3	1	3	3	1	1	3	1	1	2	4	1	3
1	5	1	1	3	1	4	1	1	3	1	1	4	1	1	5	1	1	4	1	1	4	1	1	1	5	1	3
2	4	3	2	3	3	3	3	1	1	1	1	2	1	1	4	1	3	3	1	3	2	1	1	1	4	1	3
1	5	1	1	2	1	2	2	2	3	3	3	3	3	2	3	1	3	3	1	1	3	1	1	3	5	1	3
2	5	5	2	2	2	1	5	1	1	3	3	1	5	2	1	1	5	1	1	1	5	1	1	5	3	1	1
3	5	1	1	5	1	5	1	1	1	1	1	3	1	1	3	1	1	3	1	1	3	1	1	1	4	1	2
1	5	2	1	5	3	3	3	1	5	1	1	4	1	1	5	1	1	4	1	1	1	1	1	3	5	1	5
1	5	2	1	4	1	4	1	1	5	1	3	5	2	1	5	1	1	5	1	1	5	2	3	1	5	1	5
1	3	3	1	4	1	4	1	1	3	1	1	2	2	2	5	1	2	2	1	1	4	2	1	1	3	1	4
1	3	2	1	2	1	3	1	1	2	1	1	2	2	2	5	1	2	5	1	1	3	1	1	3	4	1	3
1	4	2	1	3	1	4	1	1	3	1	2	4	2	1	3	1	1	5	1	1	3	1	1	1	5	1	1
1	5	2	2	2	1	5	1	1	1	1	2	4	1	1	4	2	1	5	1	1	5	1	1	1	5	1	5
1	3	1	1	3	3	4	1	2	5	1	3	4	1	3	2	1	1	1	1	1	2	1	1	2	4	1	3
1	4	1	1	3	1	3	1	1	3	1	1	3	1	1	3	1	1	4	1	1	3	1	1	1	5	1	3
2	5	1	1	5	1	5	1	1	3	1	1	5	1	1	5	1	1	4	2	1	5	1	1	1	5	1	5
1	5	5	1	1	1	1	5	1	2	2	1	2	5	1	2	1	5	1	1	1	4	1	1	5	4	1	1
1	5	2	1	4	1	5	1	1	3	1	1	5	2	1	4	1	1	5	1	1	4	1	1	1	5	1	5
2	5	4	3	4	1	5	5	2	3	3	2	4	3	3	3	3	2	3	2	2	4	2	1	3	5	1	4
1	5	2	1	4	1	4	1	1	3	3	2	3	3	1	5	1	3	3	1	1	4	2	1	2	5	1	5
1	5	3	1	3	1	5	1	1	3	2	1	3	3	1	1	3	1	5	1	1	5	1	1	1	5	1	5
1	5	5	1	3	1	3	3	1	5	3	2	5	5	2	5	1	3	5	1	1	5	3	1	5	5	1	5
3	5	5	1	5	2	3	3	1	5	1	1	3	1	1	3	1	5	1	1	1	1	1	1	4	5	1	1
1	5	3	1	2	1	3	2	1	1	1	3	4	3	1	4	1	3	2	1	1	4	1	1	1	4	1	4
1	5	3	1	2	2	4	1	2	3	2	1	3	4	2	3	2	2	3	1	1	4	1	1	1	5	1	5
1	5	4	1	5	1	5	1	1	1	1	1	5	3	1	5	1	1	5	1	1	5	1	1	3	5	1	2
2	5	3	1	5	1	5	1	1	1	2	1	5	1	4	5	4	1	3	3	1	1	1	1	1	5	1	5
1	4	3	1	3	1	3	1	1	1	3	1	3	1	3	3	1	3	3	1	1	5	1	1	1	5	1	5
1	5	3	1	1	1	2	1	1	3	2	1	2	1	1	3	1	1	1	1	1	1	1	1	1	5	1	2
1	5	1	1	5	1	5	1	1	1	1	1	5	1	1	5	1	1	5	1	1	5	1	1	1	5	1	5
1	3	1	1	2	1	5	1	1	3	1	2	3	3	3	2	1	3	2	1	1	2	2	1	4	5	1	5
3	5	1	1	5	1	5	1	1	1	1	1	5	1	1	5	1	1	5	1	1	5	1	1	1	5	1	5
1	5	5	1	4	1	4	1	1	1	3	2	4	5	1	5	1	1	5	1	1	5	1	1	3	5	1	5
3	3	1	1	2	1	1	3	1	1	1	1	5	5	1	3	1	4	4	1	1	5	1	1	5	5	1	5
1	5	1	1	4	1	5	1	1	1	1	1	4	1	1	5	1	1	3	1	1	5	1	1	1	5	1	4
1	5	5	1	3	1	3	3	3	1	3	3	3	5	5	1	5	3	3	1	1	1	3	2	5	4	1	2
1	5	3	1	1	1	1	1	1	1	3	3	3	4	1	3	1	2	3	1	1	1	2	1	3	5	1	4
1	4	3	1	2	1	3	1	1	1	2	2	4	4	1	4	1	2	3	1	1	5	1	1	2	4	1	3
2	5	2	1	3	1	3	1	1	1	1	3	5	4	1	5	1	1	5	1	1	5	1	1	1	5	1	5
1	4	3	1	3	1	4	1	1	1	1	1	5	3	1	5	1	1	5	1	1	5	1	1	1	5	1	5
2	5	2	5	5	3	3	3	1	5	2	1	4	2	1	5	1	3	4	1	1	5	3	1	3	5	1	3
1	5	1	1	5	1	5	1	1	1	1	3	5	1	1	5	1	1	5	1	1	5	1	1	1	5	1	5
1	5	3	3	4	1	3	1	1	4	3	2	1	4	2	5	2	2	3	1	1	5	1	1	1	3	1	4
2	3	5	2	1	3	1	4	1	1	3	2	2	3	1	1	5	1	3	3	1	1	3	1	1	4	3	1
5	5	1	1	4	1	5	3	1	4	3	3	1	1	5	1	1	3	4	1	1	5	2	1	3	5	1	5
1	5	3	1	5	1	3	1	1	5	1	3	4	5	1	4	1	1	4	1	1	5	1	1	3	5	1	5
1	5	2	1	2	1	3	1	1	5	1	1	5	3	3	3	1	2	3	1	1	5	1	1	1	5	1	3
1	5	3	1	5	1	5	1	1	1	1	2	5	1	1	5	1	1	5	1	1	5	1	1	1	5	1	5
3	5	1	1	1	3	2	3	1	1	1	1	1	3	1	1	1	1	5	1	1	4	1	1	1	3	1	3
1	5	3	1	3	1	5	1	1	3	2	3	3	3	2	1	3	1	5	1	1	5	1	1	1	5	1	5
1	5	3	1	5	1	4	1	1	2	2	1	4	3	1	5	1	1	5	1	1	4	3	1	1	5	1	3
1	5	3	1	4	1	4	1	1	3	1	1	2	2	2	5	1	2	2	1	1	4	3	1	1	4	1	4
3	5	1	1	1	2	2	3	1	4	2	1	1	1	3	3	3	4	2	1	1	2	1	1	1	4	1	2
1	5	2	1	5	1	4	1	1	1	1	1	4	3	1	4	1	1	5	1	1	4	1	1	1	5	1	5
1	5	2	1	3	1	4	1	1	1	1	1	5	2	1	5	1	2	4	1	1	5	2	1	2	4	1	5
1	3	2	1	4	1	4	1	1	1	1	1	5	3	1	4	1	1	5	1	1	5	1	1	1	3	1	5
1	5	1	1	5	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	1	5	1	5
1	4	1	1	1	1	5	1	1	4	3	1	5	5	3	5	4	5	5	1	1	5	1	1	1	5	1	5
1	3	4	1	3	1	3	3	1	3	2	3	3	3	2	2	1	3	3	1	1	3	1	1	3	5	1	3
1	4	2	1	4	1	4	1	1	1	1	1	5	1	1	4	1	1	5	1	1	5	1	1	1	4	1	4
1	4	4	1	3	1	3	2	2	1	3	2	4	3	1	1	1	3	1	1	1	1	1	1	2	3	1	3
1	5	1	1	5	1	4	1	1	3	1	1	5	2	1	5	1	1	5	1	1	5	1	1	1	5	1	5
1	5	4	1	4	1	3	5	1	2	2	3	3	5	4	2	1	3	3	1	1	3	1	1	3	5	1	4
1	5	3	1	3	1	5	1	1	5	1	1	5	2	1	3	1	2	4	1	1	5	1	1	1	5	1	5
2	5	1	1	4	1	3	1	1	2	1	2	4	3	1	2	1	1	5	1	1	5	1	1	1	5	1	4
1	5	3	1	4	2	5	3	1	5	2	3	5	1	2	3	1	1	5	1	1	5	3	1	1	4	1	5
3	5	2	5	1	1	4	2	1	3	1	1	3	4	1	4	2	3	1	2	3	1	4	3	2	5	1	4
1	5	1	1	5	1	1	3	1	4	1	1	4	1	1	1	2	3	1	1	1	1	3	3	1	5	2	1
1	5	3	1	3	1	4	3	1	5	1	1	3	1	1	3	1	5	3	1	3	3	3	3	3	5	1	3
3	3	1	1	1	3	4	1	1	1	3	1	3	4	4	1	1	5	1	2	1	3	4	1	1	4	3	1
1	5	1	1	3	1	4	1	1	1	1	1	4	2	1	5	1	1	5	1	1	5	1	1	1	5	1	5
1	5	1	1	5	1	5	1	1	5	1	3	5	2	1	5	1	3	5	1	1	5	3	1	2	5	1	5
1	3	2	1	3	1	4	1	1	2	1	1	4	1	1	3	3	1	4	1	1	4	1	1	2	3	1	5
1	5	3	1	3	1	4	1	1	2	1	1	4	3	1	5	1	1	5	1	1	4	1	1	2	4	1	5
1	4	1	1	4	3	2	1	1	4	1	1	3	4	1	4	1	1	3	3	3	3	3	3	1	4	2	2
3	5	1	1	5	2	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	5	1	1	1	5	1	5
1	4	1	1	2	1	2	3	1	1	3	2	3	3	2	2	3	3	3	1	1	3	1	2	5	5	1	2
1	5	1	1	3	1	5	1	1	3	1	1	3	2	1	2	1	1	2	1	1	5	1	1	1	4	1	5
1	5	3	1	5	1	5	1	1	1	1	1	5	4	1	5	3	1	5	1	1	4	1	1	1	3	1	3
2	5	1	5	5	2	5	1	3	1	5	3	4	4	2	3	1	3	4	1	1	1	1	1	4	3	1	2
3	5	4	1	1	4	2	2	1	5	1	1	1	5	3	4	3	4	1	1	1	2	1	1	5	5	1	5
1	5	3	1	2	1	3	1	1	5	2	1	3	3	2	4	1	2	4	1	1	5	1	1	1	5	1	5
1	5	3	1	4	1	5	1	1	5	1	2	5	3	1	5	1	1	5	1	1	5	1	1	1	5	1	5
1	5	3	1	3	1	3	2	1	1	1	1	5	1	1	3	1	1	5	1	1	1	1	1	1	5	1	5
1	5	2	1	2	1	4	1	1	5	1	1	5	3	1	5	1	1	5	1	1	5	1	1	1	4	1	4
3	4	3	1	3	1	3	1	1	1	3	2	4	3	1	5	1	5	4	1	1	5	1	1	1	3	1	3
2	4	3	1	1	1	5	1	1	4	1	1	3	3	1	3	1	5	1	1	1	5	1	1	1	4	1	5
1	5	1	1	3	1	3	1	1	5	1	2	4	3	1	5	1	1	5	1	1	4	1	1	1	4	1	4
1	5	3	1	1	1	3	1	1	1	1	1	4	1	1	1	1	1	4	1	1	1	3	1	1	5	1	1
1	5	2	1	3	1	3	2	1	4	1	1	2	2	1	2	1	1	4	1	1	3	1	1	1	5	1	4
1	3	3	1	5	1	5	1	1	1	1	1	5	3	1	5	1	3	4	1	1	4	1	1	2	4	1	5
1	5	1	4	5	1	4	1	1	3	1	2	5	3	1	3	1	3	5	1	1	3	1	1	4	5	1	5
